"SBS1" "SBS5" "SBS40" "SBS12" "SBS16" "Stan_sig" "N2"
"PD52285b_lo0020" 0.208104558906128 0.212517264207806 0.273861059844527 0.0462057735538579 0.0706843318796473 0.0511441845355007 0.137482827072533
"PD52285b_lo0022" 0.275352646993236 0.202137315524235 0.262688225810247 0.0669887954548171 0.0980930694396189 0.0555649671810609 0.0391749795967851
"PD52285b_lo0025" 0.115995668841586 0.446386895795614 0.153482250711129 0.0558644364254949 0.0749862207551741 0.075701430334433 0.077583097136569
"PD52285b_lo0027" 0.156236133335794 0.190264711135117 0.25296513515419 0.0464012384017759 0.0948444987209715 0.0398703856999553 0.219417897552197
"PD52285b_lo0028" 0.0875047483060047 0.217360327749185 0.345607083416477 0.0440375036084984 0.0789611713757067 0.0532525238060773 0.173276641738051
"PD52285b_lo0031" 0.135242338781175 0.202508531758656 0.196528184594096 0.121550278094367 0.10452521062021 0.15870363335784 0.0809418227936568
"PD52285b_lo0032" 0.158222214485758 0.3264411524356 0.130383730238912 0.11629576744569 0.157989850017338 0.041328903619149 0.0693383817575542
"PD52285b_lo0033" 0.0224781092070013 0.140650820030363 0.239074166406343 0.0590900897776827 0.194296644769116 0.125228371572525 0.219181798236969
"PD52285b_lo0035" 0.134765976464531 0.345315699433093 0.293569161637022 0.0726292838489825 0.0678206103504534 0.0495953689569863 0.0363038993089313
"PD52285b_lo0037" 0.0463231727284315 0.185917676587192 0.500019185768305 0.0327916404835806 0.0976185958755648 0.0712725843024405 0.066057144254485
"PD52285b_lo0038" 0.0289078893861441 0.206764948780383 0.237367519575683 0.105451760124917 0.14835763006608 0.0741931686673141 0.198957083399478
"PD52285b_lo0039" 0.032193189060556 0.157540093963914 0.279780488542924 0.190872575222848 0.1183025821322 0.050738968665178 0.17057210241238
"PD52285b_lo0042" 0.154761319765722 0.295428120039167 0.329422771590772 0.0448801388133001 0.0702597619229861 0.0404737655390973 0.0647741223289547
"PD52285b_lo0043" 0.171207501907747 0.212882943741122 0.326448287228555 0.0380142853785739 0.0795921768280103 0.0498321112567445 0.122022693659248
"PD52286b_lo0002" 0.05407111931323 0.268731334373327 0.218800076926859 0.10442990885868 0.17692873751969 0.0533804929657608 0.123658330042454
"PD52286b_lo0003" 0.0765614876395204 0.254537225932353 0.269121011255209 0.0639226378961885 0.192936330918314 0.113922182803096 0.0289991235553197
"PD52286b_lo0005" 0.068470571692817 0.206858391993747 0.205580846105001 0.0643155225307528 0.211670662021034 0.0527146978959727 0.190389307760675
"PD52286b_lo0007" 0.0512402535991495 0.188080653813208 0.44657010161337 0.0745808717715191 0.145233822185142 0.0380542270150382 0.0562400700025741
"PD52286b_lo0008" 0.0737876959222397 0.237142891128225 0.295699012352014 0.0995463242177736 0.197340579261028 0.0648527672354448 0.0316307298832744
